id,player_id,date,rating,duration,category
1,1,2015-01-25,3,60,Team Training
2,1,2015-01-26,3,60,Lifting
3,1,2015-01-26,3,120,Team Training
4,1,2015-01-27,4,120,Team Training
5,1,2015-01-27,3,75,Team Training
6,1,2015-01-28,3,60,Team Training
7,1,2015-01-29,3,60,Lifting
8,1,2015-01-29,5,105,Team Training
9,1,2015-01-30,3,135,Team Training
10,1,2015-01-31,2,90,Game
11,1,2015-02-01,3,60,Team Training
12,1,2015-02-02,4,60,Team Training
13,1,2015-02-03,4,60,Team Training
14,1,2015-02-04,0,0,Off
15,1,2015-02-05,6,150,Team Training
16,1,2015-02-06,3,60,Team Training
17,1,2015-02-07,6,60,Lifting
18,1,2015-02-11,3,90,Lifting
19,1,2015-02-12,4,60,Plyometric
20,1,2015-02-13,5,40,Plyometric
21,1,2015-02-14,3,60,Lifting
22,1,2015-02-15,4,90,Lifting
23,1,2015-02-16,7,30,Plyometric
24,1,2015-02-17,0,0,Off
25,1,2015-02-18,6,120,Lifting
26,1,2015-02-19,4,45,Plyometric
27,1,2015-02-20,5,60,Plyometric
28,1,2015-02-21,7,30,Plyometric
29,1,2015-02-22,5,120,Lifting
30,1,2015-02-23,0,0,Off
31,1,2015-02-25,5,60,Team Training
32,1,2015-02-25,3,60,Lifting
33,1,2015-02-25,4,90,Team Training
34,1,2015-02-26,4,90,Team Training
35,1,2015-02-26,3,90,Team Training
36,1,2015-02-26,3,90,Team Training
37,1,2015-02-27,3,120,Team Training
38,1,2015-02-28,3,70,Lifting
39,1,2015-02-28,3,120,Team Training
40,1,2015-03-01,6,33,Plyometric
41,1,2015-03-02,0,0,Off
42,1,2015-03-03,3,60,Lifting
43,1,2015-03-03,4,120,Team Training
44,1,2015-03-04,4,120,Team Training
45,1,2015-03-05,3,90,Team Training
46,1,2015-03-06,3,45,Lifting
47,1,2015-03-07,4,60,Team Training
48,1,2015-03-08,0,0,Off
49,1,2015-03-09,5,60,Team Training
50,1,2015-03-10,3,90,Team Training
51,1,2015-03-11,6,90,Lifting
52,1,2015-03-12,5,90,Other
53,1,2015-03-13,0,0,Off
54,1,2015-03-14,3,60,Team Training
55,1,2015-03-15,3,45,Lifting
56,1,2015-03-16,3,60,Team Training
57,2,2015-01-25,5,70,Team Training
58,2,2015-01-25,3,10,Other
59,2,2015-01-26,5,60,Lifting
60,2,2015-01-26,5,75,Team Training
61,2,2015-01-26,5,30,Other
62,2,2015-01-27,3,60,Team Training
63,2,2015-01-27,7,80,Team Training
64,2,2015-01-28,6,60,Other
65,2,2015-01-28,2,45,Team Training
66,2,2015-01-29,5,90,Lifting
67,2,2015-01-29,6,75,Team Training
68,2,2015-01-30,2,120,Team Training
69,2,2015-01-31,9,75,Game
70,2,2015-02-01,6,70,Team Training
71,2,2015-02-02,5,45,Game
72,2,2015-02-03,1,45,Other
73,2,2015-02-04,0,0,Off
74,2,2015-02-05,7,120,Team Training
75,2,2015-02-06,3,60,Team Training
76,2,2015-02-07,8,30,Plyometric
77,2,2015-02-07,4,60,Lifting
78,2,2015-02-08,0,0,Off
79,2,2015-02-09,0,0,Off
80,2,2015-02-10,3,30,Plyometric
81,2,2015-02-11,7,5,Plyometric
82,2,2015-02-11,4,30,Plyometric
83,2,2015-02-11,7,75,Lifting
84,2,2015-02-12,9,12,Plyometric
85,2,2015-02-12,4,45,Plyometric
86,2,2015-02-13,3,35,Plyometric
87,2,2015-02-13,4,60,Plyometric
88,2,2015-02-13,5,60,Lifting
89,2,2015-02-14,7,90,Team Training
90,2,2015-02-15,5,90,Lifting
91,2,2015-02-15,5,60,Plyometric
92,2,2015-02-16,0,0,Off
93,2,2015-02-17,3,60,Plyometric
94,2,2015-02-18,7,90,Lifting
95,2,2015-02-18,3,75,Plyometric
96,2,2015-02-18,6,36,Plyometric
97,2,2015-02-19,1,45,Plyometric
98,2,2015-02-20,5,90,Lifting
99,2,2015-02-20,7,40,Plyometric
100,2,2015-02-20,4,45,Plyometric
101,2,2015-02-21,7,30,Plyometric
102,2,2015-02-22,4,45,Lifting
103,2,2015-02-23,0,0,Off
104,2,2015-02-24,0,0,Off
105,2,2015-02-25,5,60,Lifting
106,2,2015-02-25,3,60,Plyometric
107,2,2015-02-25,6,90,Team Training
108,2,2015-02-26,6,90,Team Training
109,2,2015-02-26,3,60,Team Training
110,2,2015-02-27,6,90,Team Training
111,2,2015-02-27,2,45,Other
112,2,2015-02-28,5,90,Lifting
113,2,2015-02-28,5,90,Team Training
114,2,2015-03-01,9,60,Team Training
115,2,2015-03-02,0,0,Off
116,2,2015-03-03,4,60,Lifting
117,2,2015-03-03,6,90,Team Training
118,2,2015-03-04,7,90,Team Training
119,2,2015-03-05,4,75,Team Training
120,2,2015-03-07,2,50,Team Training
121,2,2015-03-08,5,90,Game
122,2,2015-03-09,2,30,Other
123,2,2015-03-10,3,75,Team Training
124,2,2015-03-11,5,90,Game
125,2,2015-03-12,1,40,Other
126,2,2015-03-13,0,0,Off
127,2,2015-03-14,4,60,Team Training
128,2,2015-03-15,7,120,Game
129,2,2015-03-16,2,20,Other
130,3,2015-01-25,3,60,Team Training
131,3,2015-01-26,4,70,Lifting
132,3,2015-01-26,6,75,Team Training
133,3,2015-01-27,5,55,Team Training
134,3,2015-01-27,7,60,Team Training
135,3,2015-01-28,3,55,Team Training
136,3,2015-01-29,5,60,Lifting
137,3,2015-01-29,8,105,Team Training
138,3,2015-01-30,5,90,Team Training
139,3,2015-01-31,9,90,Team Training
140,3,2015-02-01,4,75,Team Training
141,3,2015-02-02,6,35,Game
142,3,2015-02-03,5,75,Team Training
143,3,2015-02-04,0,0,Off
144,3,2015-02-05,5,75,Team Training
145,3,2015-02-05,2,45,Other
146,3,2015-02-06,3,50,Team Training
147,3,2015-02-08,0,0,Off
148,3,2015-02-09,0,0,Off
149,3,2015-02-10,4,90,Plyometric
150,3,2015-02-11,6,75,Plyometric
151,3,2015-02-11,3,90,Plyometric
152,3,2015-02-12,8,90,Plyometric
153,3,2015-02-13,5,90,Lifting
154,3,2015-02-13,5,80,Plyometric
155,3,2015-02-14,4,75,Lifting
156,3,2015-02-14,7,20,Plyometric
157,3,2015-02-14,2,60,Plyometric
158,3,2015-02-15,6,105,Lifting
159,3,2015-02-15,8,20,Plyometric
160,3,2015-02-15,3,60,Plyometric
161,3,2015-02-16,8,55,Plyometric
162,3,2015-02-17,0,0,Off
163,3,2015-02-18,5,105,Lifting
164,3,2015-02-18,7,90,Plyometric
165,3,2015-02-19,8,90,Plyometric
166,3,2015-02-19,8,60,Plyometric
167,3,2015-02-20,2,60,Lifting
168,3,2015-02-20,3,60,Plyometric
169,3,2015-02-21,3,60,Plyometric
170,3,2015-02-22,5,90,Lifting
171,3,2015-02-22,7,180,Plyometric
172,3,2015-02-23,0,0,Off
173,3,2015-02-24,0,0,Off
174,3,2015-02-25,3,60,Plyometric
175,3,2015-02-25,4,60,Lifting
176,3,2015-02-25,4,60,Lifting
177,3,2015-02-25,7,100,Team Training
178,3,2015-02-26,4,60,Plyometric
179,3,2015-02-26,6,90,Team Training
180,3,2015-02-27,7,90,Team Training
181,3,2015-02-28,6,70,Lifting
182,3,2015-02-28,5,90,Team Training
183,3,2015-03-01,7,30,Game
184,3,2015-03-02,0,0,Off
185,3,2015-03-03,4,60,Lifting
186,3,2015-03-03,6,90,Team Training
187,3,2015-03-04,4,90,Team Training
188,3,2015-03-07,4,100,Plyometric
189,3,2015-03-08,1,120,Game
190,3,2015-03-09,5,60,Plyometric
191,3,2015-03-10,3,60,Team Training
192,3,2015-03-11,5,45,Game
193,3,2015-03-12,4,60,Team Training
194,3,2015-03-14,1,30,Other
195,3,2015-03-14,4,60,Team Training
196,3,2015-03-15,3,15,Game
197,3,2015-03-15,5,15,Game
198,3,2015-03-16,7,60,Team Training
199,4,2015-01-25,4,60,Team Training
200,4,2015-01-26,5,90,Lifting
201,4,2015-01-26,3,30,Other
202,4,2015-01-26,5,90,Team Training
203,4,2015-01-27,5,60,Team Training
204,4,2015-01-27,6,80,Team Training
205,4,2015-01-28,2,60,Team Training
206,4,2015-01-29,5,90,Lifting
207,4,2015-01-29,5,90,Team Training
208,4,2015-01-30,4,100,Team Training
209,4,2015-01-31,9,90,Team Training
210,4,2015-02-01,3,75,Team Training
211,4,2015-02-02,8,90,Game
212,4,2015-02-03,1,45,Other
213,4,2015-02-05,3,120,Team Training
214,4,2015-02-06,2,60,Team Training
215,4,2015-02-07,4,25,Game
216,4,2015-02-08,0,0,Off
217,4,2015-02-09,3,60,Other
218,4,2015-02-10,0,0,Off
219,4,2015-02-11,6,105,Lifting
220,4,2015-02-11,5,105,Plyometric
221,4,2015-02-12,6,60,Plyometric
222,4,2015-02-12,4,60,Plyometric
223,4,2015-02-13,6,95,Team Training
224,4,2015-02-13,4,60,Lifting
225,4,2015-02-14,3,90,Plyometric
226,4,2015-02-15,5,90,Lifting
227,4,2015-02-15,5,90,Team Training
228,4,2015-02-16,6,60,Recovery
229,4,2015-02-17,0,0,Off
230,4,2015-02-18,6,105,Lifting
231,4,2015-02-18,8,105,Team Training
232,4,2015-02-18,3,60,Plyometric
233,4,2015-02-19,5,100,Team Training
234,4,2015-02-19,3,60,Plyometric
235,4,2015-02-20,5,120,Lifting
236,4,2015-02-20,7,105,Team Training
237,4,2015-02-21,3,120,Plyometric
238,4,2015-02-22,3,60,Lifting
239,4,2015-02-22,7,105,Team Training
240,4,2015-02-23,1,60,Recovery
241,4,2015-02-25,4,60,Lifting
242,4,2015-02-25,3,60,Team Training
243,4,2015-02-25,6,105,Team Training
244,4,2015-02-26,5,100,Team Training
245,4,2015-02-27,5,90,Team Training
246,4,2015-02-28,5,90,Lifting
247,4,2015-03-01,7,45,Game
248,4,2015-03-03,4,75,Lifting
249,4,2015-03-03,5,80,Team Training
250,4,2015-03-04,5,100,Team Training
251,4,2015-03-05,3,80,Team Training
252,4,2015-03-06,6,60,Game
253,4,2015-03-07,1,40,Recovery
254,4,2015-03-09,3,60,Recovery
255,4,2015-03-10,3,60,Team Training
256,4,2015-03-11,8,90,Game
257,4,2015-03-12,1,45,Other
258,4,2015-03-13,0,0,Off
259,4,2015-03-15,8,90,Game
260,4,2015-03-16,0,0,Off
261,5,2015-01-25,5,60,Team Training
262,5,2015-01-25,3,60,Team Training
263,5,2015-01-25,3,60,Team Training
264,5,2015-01-26,3,60,Lifting
265,5,2015-01-26,5,90,Team Training
266,5,2015-01-27,5,60,Team Training
267,5,2015-01-27,7,80,Team Training
268,5,2015-01-28,3,60,Team Training
269,5,2015-01-29,4,60,Lifting
270,5,2015-01-29,5,90,Team Training
271,5,2015-01-30,3,100,Team Training
272,5,2015-01-31,7,65,Game
273,5,2015-02-01,4,80,Team Training
274,5,2015-02-02,7,75,Game
275,5,2015-02-03,0,0,Off
276,5,2015-02-05,5,105,Team Training
277,5,2015-02-06,4,90,Team Training
278,5,2015-02-11,5,150,Team Training
279,5,2015-02-12,5,120,Plyometric
280,5,2015-02-13,5,120,Plyometric
281,5,2015-02-13,6,60,Plyometric
282,5,2015-02-14,7,60,Plyometric
283,5,2015-02-15,6,120,Plyometric
284,5,2015-02-15,7,45,Plyometric
285,5,2015-02-17,0,0,Off
286,5,2015-02-18,7,180,Plyometric
287,5,2015-02-19,8,180,Plyometric
288,5,2015-02-20,5,120,Plyometric
289,5,2015-02-21,0,0,Off
290,5,2015-02-22,5,90,Plyometric
291,5,2015-02-23,5,60,Plyometric
292,5,2015-02-24,0,0,Off
293,5,2015-02-25,3,45,Team Training
294,5,2015-02-25,4,45,Lifting
295,5,2015-02-25,5,90,Plyometric
296,5,2015-02-26,5,90,Team Training
297,5,2015-02-26,3,60,Team Training
298,5,2015-02-27,6,90,Team Training
299,5,2015-02-28,6,70,Lifting
300,5,2015-02-28,6,90,Team Training
301,5,2015-03-01,7,90,Game
302,5,2015-03-02,0,0,Off
303,5,2015-03-03,5,90,Team Training
304,5,2015-03-04,6,90,Team Training
305,5,2015-03-05,4,70,Team Training
306,5,2015-03-06,4,90,Game
307,5,2015-03-07,2,60,Recovery
308,5,2015-03-08,6,90,Game
309,5,2015-03-09,1,15,Recovery
310,5,2015-03-10,3,90,Plyometric
311,5,2015-03-11,6,90,Game
312,5,2015-03-12,1,45,Recovery
313,5,2015-03-13,0,0,Off
314,5,2015-03-14,3,60,Team Training
315,5,2015-03-15,6,90,Game
316,5,2015-03-16,0,0,Off
317,6,2015-01-25,3,60,Team Training
318,6,2015-01-26,5,60,Lifting
319,6,2015-01-26,6,80,Team Training
320,6,2015-01-27,7,60,Team Training
321,6,2015-01-27,7,75,Team Training
322,6,2015-01-28,2,45,Team Training
323,6,2015-01-29,4,60,Lifting
324,6,2015-01-29,6,80,Team Training
325,6,2015-01-30,3,90,Team Training
326,6,2015-01-31,7,60,Team Training
327,6,2015-02-01,1,20,Other
328,6,2015-02-02,2,40,Other
329,6,2015-02-03,4,45,Other
330,6,2015-02-04,3,30,Plyometric
331,6,2015-02-05,6,120,Team Training
332,6,2015-02-06,3,60,Team Training
333,6,2015-02-07,7,90,Game
334,6,2015-02-08,2,40,Recovery
335,6,2015-02-09,0,0,Off
336,6,2015-02-10,0,0,Off
337,6,2015-02-11,5,110,Lifting
338,6,2015-02-11,3,21,Plyometric
339,6,2015-02-12,3,35,Plyometric
340,6,2015-02-13,4,56,Lifting
341,6,2015-02-13,6,14,Plyometric
342,6,2015-02-14,7,48,Plyometric
343,6,2015-02-15,5,108,Lifting
344,6,2015-02-15,5,18,Plyometric
345,6,2015-02-16,0,0,Off
346,6,2015-02-17,3,35,Plyometric
347,6,2015-02-18,5,129,Lifting
348,6,2015-02-18,5,91,Plyometric
349,6,2015-02-19,4,79,Plyometric
350,6,2015-02-20,3,45,Lifting
351,6,2015-02-20,3,44,Plyometric
352,6,2015-02-21,6,53,Other
353,6,2015-02-22,5,121,Lifting
354,6,2015-02-22,8,78,Plyometric
355,6,2015-02-23,0,0,Off
356,6,2015-02-24,0,0,Off
357,6,2015-02-25,5,46,Lifting
358,6,2015-02-25,2,55,Team Training
359,6,2015-02-25,5,96,Team Training
360,6,2015-02-26,5,90,Team Training
361,6,2015-02-26,3,60,Team Training
362,6,2015-02-27,6,90,Team Training
363,6,2015-02-28,4,60,Lifting
364,6,2015-02-28,6,85,Team Training
365,6,2015-03-01,7,45,Team Training
366,6,2015-03-03,5,45,Lifting
367,6,2015-03-03,5,90,Team Training
368,6,2015-03-04,6,80,Team Training
369,6,2015-03-05,5,80,Team Training
370,6,2015-03-07,3,45,Team Training
371,6,2015-03-08,6,45,Game
372,6,2015-03-09,5,60,Team Training
373,6,2015-03-10,3,60,Team Training
374,6,2015-03-11,6,90,Game
375,6,2015-03-12,1,60,Recovery
376,6,2015-03-13,0,0,Off
377,6,2015-03-14,2,30,Other
378,6,2015-03-14,4,60,Game
379,6,2015-03-15,1,5,Game
380,6,2015-03-16,5,60,Team Training
